"Mánuður";"Allt íbúðarhúsnæði";"Breyting milli mánaða (%)"
"Febrúar 2010";302,1;-0,4
"Mars 2010";303,5;0,5
"Apríl 2010";303;-0,2
"Maí 2010";308,9;1,9
"Júní 2010";306,7;-0,7
"Júlí 2010";302,8;-1,3
"Ágúst 2010";302,8;0
"September 2010";303,9;0,4
"Október 2010";306,5;0,9
"Nóvember 2010";306,3;-0,1
"Desember 2010";302,6;-1,2
"Janúar 2011";304,9;0,8
"Febrúar 2011";308,1;1
"Mars 2011";309,2;0,4
"Apríl 2011";311,3;0,7
"Maí 2011";319,6;2,7
"Júní 2011";321,2;0,5
"Júlí 2011";320,8;-0,1
"Ágúst 2011";321,8;0,3
"September 2011";326,1;1,3
"Október 2011";329,5;1
"Nóvember 2011";329,5;0
"Desember 2011";332,5;0,9
"Janúar 2012";333;0,2
"Febrúar 2012";332,2;-0,2
"Mars 2012";336,2;1,2
"Apríl 2012";335,3;-0,3
"Maí 2012";336,4;0,3
"Júní 2012";341,3;1,5
"Júlí 2012";344,3;0,9
"Ágúst 2012";343,5;-0,2
"September 2012";345,8;0,7
"Október 2012";348,8;0,9
"Nóvember 2012";350,2;0,4
"Desember 2012";351,7;0,4
"Janúar 2013";350,7;-0,3
"Febrúar 2013";351,5;0,2
"Mars 2013";351,5;0
"Apríl 2013";353,8;0,7
"Maí 2013";358,4;1,3
"Júní 2013";364,9;1,8
"Júlí 2013";367,3;0,7
"Ágúst 2013";366,8;-0,1
"September 2013";370,1;0,9
"Október 2013";376,2;1,6
"Nóvember 2013";377,5;0,3
"Desember 2013";375,7;-0,5
"Janúar 2014";376,8;0,3
"Febrúar 2014";382,2;1,4
"Mars 2014";390,5;2,2
"Apríl 2014";393,4;0,7
"Maí 2014";392,9;-0,1
"Júní 2014";389,7;-0,8
"Júlí 2014";390,8;0,3
"Ágúst 2014";400,8;2,6
"September 2014";401,2;0,1
"Október 2014";401,1;0
"Nóvember 2014";403,7;0,6
"Desember 2014";411,9;2
"Janúar 2015";416,1;1
"Febrúar 2015";423,5;1,8
"Mars 2015";424,9;0,3
"Apríl 2015";423,9;-0,2
"Maí 2015";428,5;1,1
