sveitarfelag,ar,hluti,heildarskuldir,eignir,tekjur,skatttekjur_an_jofnundarsjóðs,framlag_jofnunarsjods,gjold,afskriftir,fjarmagnslidir,oreglulegir_lidir,rekstrarnidurstada,breyting_lifeyrisskuldbindinga,afborganir_langtimalana,adrar_fjarmognunarhreyfingar,eigid_fe,veltufjarmunir,skammtimakrofur_eigin_fyrirtaeki,handbaert_fe,skammtimaskuldir,fjarfestingarhreyfingar,nyjar_langtimaskuldir,launagjold,veltufe,mannfjoldi,eiginfjarhlutfall,framlegd,framlegd_hlutf,handbaert_fe_per_ibui,hlutf_jofnunarsjods_skottum,jofnunarsjodur_a_ibua,launagjold_per_ibui,launagjold_hlutf_gjold,utgjold_jofnunarsjod,netto_jofnunarsjod,netto_jofnunarsjod_per_ibui,nettoskuldir,nettoskuldir_hlutf_tekjur,rekstrarnidurstada_hlutf,rekstur_3_ar,tekjur_3_ar,rekstur_3_ar_hlutf_tekjur,skattur_a_ibua,skuldahlutfall,skuldir_hlutf_tekjur,skuldir_per_ibui,timi_borga_skuldir,veltufe_hlutf_tekjur,veltufjarhlutfall,cpi,hlutf_jofnunarsjod_utgjold,skuldaaukning_2021,skuldaaukning,rekstrarnidurstada_kjortimabil,tekjur_kjortimabil,rekstrarnidurstada_hlutf_kjortimabil,rekstrarnidurstada_per_ibui_kjortimabil
Blönduósbær,2002,A-hluti,517949000,603763000,349423000,193392000,84423000,360817000,16158000,-42402000,0,-53796000,6929000,-36244000,31113000,85814000,60955000,3694000,491000,155758000,-7129000,14000000,152363000,4215000,961,0.14213192925038468,4764000,0.013633905037733636,510.9261186264308,0.3038820798013066,87849.11550468262,158546.30593132155,0.42227223218418203,6149844.800000001,78273155.2,81449.69323621228,460688000,1.3184249462685627,-0.1539566657031735,-174652000,3662268000,-0.04768957378324033,201240.3746097815,0.8578680707496154,1.4822979597794077,538968.7825182102,109.29727164887308,0.01206274343703763,0.3913442648210686,0.4123239581617526,8.753494541280292e-4,NA,0.3297498683735555,-267113000,4438637000,-0.060179059472536274,-287063.9441160666
Blönduósbær,2002,A og B-hluti,1026228000,1182825000,435952000,193392000,84423000,433566000,49491000,-73368000,0,-70982000,6929000,-67236000,13579000,156597000,59814000,0,1313000,182112000,-19153000,52633000,171567000,21862000,961,0.13239236573457613,51877000,0.11899704554629867,1366.2851196670135,0.3038820798013066,87849.11550468262,178529.6566077003,0.3957113795823473,7672755.2,76750244.8,79864.97898022893,966414000,2.216789921826256,-0.16282067750578044,-164631000,2561820000,-0.06426329718715601,201240.3746097815,0.8676076342654239,2.3539931001578154,1067875.1300728407,44.205196230902935,0.050147722685066246,0.3284462308908803,0.4123239581617526,0.0010921157028187113,NA,0.53737880244563,-195313000,4858589000,-0.04019953118076051,-209901.12842557766
Bolungarvíkurkaupstaður,2002,A-hluti,315036000,706715000,320714000,190223000,59532000,376041000,10477000,15517000,0,-39810000,11557000,-32791000,-16971000,391679000,234509000,18436000,143502000,62159000,-28572000,7500000,179375000,-15298000,959,0.5542248289621701,-44850000,-0.139844222578372,149637.1220020855,0.23836159436247523,62077.16371220021,187043.79562043794,0.4770091559165091,5644566.4,53887433.6,56191.27591240876,98963000,0.3085708762324064,-0.12412928652943121,-298883000,2864445000,-0.10434237697005877,198355.5787278415,0.44577517103782993,0.9822957526020067,328504.69238790404,100000,-0.047699819777122295,3.7727280039897684,0.4123239581617526,8.034297250931299e-4,NA,0.17887718844006256,-106674000,4700404000,-0.022694644970942923,-111964.3138283915
Bolungarvíkurkaupstaður,2002,A og B-hluti,890113000,959702000,390849000,187328000,59532000,452798000,28205000,-16175000,0,-78124000,11557000,-63749000,-9765000,69589000,232441000,0,144548000,90783000,-10012000,21500000,195857000,-25968000,959,0.0725110503051989,-33744000,-0.0863351319819163,150727.84150156414,0.24115693105403874,62077.16371220021,204230.44838373305,0.4325482886408509,6878942.4,52653057.6,54904.1267987487,657672000,1.6826754066148308,-0.19988281919616016,-215677000,2065507000,-0.10441843092277102,195336.80917622524,0.9274889496948011,2.2773833372990593,928167.8832116788,100000,-0.06643998065749177,2.56040227795953,0.4123239581617526,9.791269000509013e-4,NA,0.3966764515957961,54825000,5408092000,0.010137586416799122,57543.951718709
Borgarbyggð,2002,A-hluti,1313740000,1843852000,1155516000,623300000,298820000,1163387000,47019000,14611000,0,6740000,19961000,-86562000,-24230000,530110000,319574000,89227000,66666000,352775000,-179201000,283400000,619446000,26856000,3411,0.2875013829743385,39148000,0.03387923663540791,19544.415127528584,0.3240576063852861,87604.80797420112,181602.4626209323,0.532450508730113,20337081.6,278482918.4,81642.60287305775,1083393000,0.9375837288276406,0.005832891972071352,80338000,3987474000,0.0201475921849271,182732.33655819407,0.7124986170256615,1.136929302579973,385148.0504250953,40.340817694369974,0.023241564807410714,0.9058861880802211,0.4123239581617526,0.0028947158596778224,NA,0.3618908102035942,919004000,16436237000,0.05591328477436776,242449.28109748053
Borgarbyggð,2002,A og B-hluti,1628046000,2227757000,1227712000,623300000,298820000,1227794000,64762000,-16191000,0,-16273000,19961000,-134601000,56378000,599710000,235321000,0,69819000,388683000,-300893000,363933000,636943000,32100000,3411,0.2691990194621765,64680000,0.05268336547985195,20468.777484608618,0.3240576063852861,87604.80797420112,186732.04338903548,0.518770249732447,21607731.200000003,277212268.8,81270.08759894459,1392725000,1.134406929312412,-0.013254737267372153,63486000,3910192000,0.01623603137646438,182732.33655819407,0.7308009805378235,1.3260813611009747,477292.8759894459,43.387071651090345,0.026146197153729865,0.605431675684298,0.4123239581617526,0.003075576104110007,NA,0.2940124467772144,952445000,18223482000,0.052264709894629356,251271.60005276348
Dalabyggð,2002,A-hluti,311214000,481972000,254302000,116714000,78990000,263052000,11309000,-3603000,0,-12353000,2264000,-18301000,6523000,170758000,150732000,20496000,2825000,145478000,-1681000,2154000,104688000,-3964000,749,0.35429029072228263,2559000,0.010062838672129986,3771.6955941255005,0.40361975227895186,105460.61415220294,139770.36048064084,0.39797454495689066,4475715.2,74514284.8,99485.026435247,180978000,0.7116656573680112,-0.048576102429394974,-187950000,9552601000,-0.019675269594113688,155826.435246996,0.6457097092777173,1.223796902894983,415506.0080106809,100000,-0.015587765727363529,1.036115426387495,0.4123239581617526,6.370591428831704e-4,NA,0.5627220636071538,-59015000,3221677000,-0.018318099548775373,-90827.24124663332
Dalabyggð,2002,A og B-hluti,423767000,664849000,295645000,116714000,78990000,301507000,24462000,-11667000,0,-17529000,2264000,-20994000,7740000,241082000,82871000,0,6493000,168427000,-19821000,2154000,123426000,-207000,749,0.36261166069287915,18600000,0.06291329127839132,8668.891855807744,0.40361975227895186,105460.61415220294,164787.71695594126,0.40936363003180687,5203352,73786648,98513.5487316422,340896000,1.1530585668622841,-0.059290703377361365,-119686000,5457989000,-0.021928589449337475,155826.435246996,0.6373883393071209,1.4333643389876372,565777.0360480641,100000,-7.001640480982259e-4,0.49202918771930865,0.4123239581617526,7.406286631552049e-4,NA,0.6552061091363377,167631000,3941280000,0.042532121544269885,257993.07425933052
Dalvíkurbyggð,2002,A-hluti,607155000,969718000,653008000,392666000,158226000,662797000,29088000,-9644000,0,-19433000,19634000,-47093000,-6368000,362562000,139749000,928000,66183000,156226000,-7186000,42000000,341486000,35512000,2012,0.37388395389175,19299000,0.029554002401195698,32894.1351888668,0.28721782127894396,78641.15308151093,169724.65208747514,0.5152195921224749,11492940.8,146733059.2,72928.95586481113,468334000,0.717194888883444,-0.029759206625339964,32977000,2552808000,0.01291793194004406,195162.02783300198,0.62611604610825,0.9297818709724842,301766.8986083499,13.188049110159946,0.05438218214784505,0.8945309999615941,0.4123239581617526,0.00163586883617059,NA,0.3458701569177449,282604000,8683836000,0.03254368230814124,149862.91926289274
Dalvíkurbyggð,2002,A og B-hluti,1218930000,1734159000,751662000,388039000,158226000,750263000,66957000,-94589000,0,-93190000,19634000,-1000,-87691000,515228000,152862000,-1000,66183000,142990000,-35533000,78456000,360091000,66634000,2012,0.2971053980632687,68356000,0.09093981071279378,32894.1351888668,0.2896506274427247,78641.15308151093,178971.66998011927,0.47995302980421534,13229251.200000001,144996748.8,72065.97852882705,1066067000,1.4182797587213403,-0.12397859676290673,-88538000,2460483000,-0.035983991760967254,192862.3260437376,0.7028946019367313,1.6216464315077788,605830.0198807158,15.998844433772549,0.08864888739885747,1.069039792992517,0.4123239581617526,0.001883009765781825,NA,0.6112513821643754,424855000,10129401000,0.04194275653614661,225297.62693888374
Eyja- og Miklaholtshreppur,2002,A-hluti,2429000,63597000,42034000,18890000,11223000,29148000,941000,829000,0,13715000,0,NA,NA,61168000,15625000,0,10347000,2429000,-4730000,NA,1234000,8070000,117,0.9618063745145211,13827000,0.32894799448065853,88435.89743589744,0.37269617773054825,95923.07692307692,10547.008547008547,0.04233566625497461,739798.4,10483201.6,89600.01367521368,-13196000,-0.31393633725079695,0.32628348479802066,-56942000,4985195000,-0.01142222119696421,161452.99145299144,0.03819362548547889,0.05778655374220869,20760.68376068376,0,0.19198743874006757,6.432688349114862,0.4123239581617526,1.0530056394346559e-4,NA,0.08260219002924574,-19465000,617239000,-0.03153559642213146,-159222.90388548057
Eyja- og Miklaholtshreppur,2002,A og B-hluti,2429000,63597000,42034000,18890000,11223000,29148000,941000,829000,0,13715000,0,NA,NA,61168000,15625000,0,10347000,2429000,-4730000,NA,1234000,8070000,117,0.9618063745145211,13827000,0.32894799448065853,88435.89743589744,0.37269617773054825,95923.07692307692,10547.008547008547,0.04233566625497461,739798.4,10483201.6,89600.01367521368,-13196000,-0.31393633725079695,0.32628348479802066,-10343000,2732256000,-0.0037855164376983707,161452.99145299144,0.03819362548547889,0.05778655374220869,20760.68376068376,0,0.19198743874006757,6.432688349114862,0.4123239581617526,1.0530056394346559e-4,NA,0.08260219002924574,-29877000,627197000,-0.04763575080875706,-244392.6380368098
Eyjafjarðarsveit,2002,A-hluti,100272000,506107000,308713000,153371000,121243000,300013000,13532000,-370000,0,8330000,0,-8966000,-1848000,405834000,57501000,1849000,19791000,28530000,-18429000,NA,156863000,22412000,979,0.8018739120383634,22232000,0.07201510788337388,20215.52604698672,0.44150334651547263,123843.71807967314,160227.78345250254,0.5228540096595814,5433348.800000001,115809651.2,118293.82145045965,44620000,0.14453553948165448,0.026982990674186056,-67044000,574248000,-0.11675095080870983,156660.8784473953,0.19812608796163655,0.3248065355200461,102422.88049029621,1.99089773335713,0.07259817370826625,2.0154574132492113,0.4123239581617526,7.733656800846718e-4,NA,0.722030603060306,351864000,4561972000,0.077129802637982,332574.66918714554
Eyjafjarðarsveit,2002,A og B-hluti,144174000,545558000,315221000,152874000,121243000,304738000,16907000,-6605000,0,3878000,0,-9604000,1000,401381000,54479000,0,19791000,29527000,-20789000,NA,157185000,23560000,979,0.7357256240399738,27390000,0.08689141903616827,20215.52604698672,0.44230383376441446,123843.71807967314,160556.6905005107,0.5158037396058254,5547889.600000001,115695110.4,118176.82369765067,89695000,0.28454639760675843,0.01230247984747209,-27146000,757998000,-0.03581275940042058,156153.2175689479,0.26427437596002623,0.4573743500591648,147266.59856996936,3.807088285229202,0.07474121330748904,1.8450570664137909,0.4123239581617526,7.896690552129982e-4,NA,0.7264381484075438,369215000,4640411000,0.0795651505868769,348974.4801512287
Fjallabyggð,2002,A-hluti,1105103000,1220998000,943095000,568376000,168708000,940781000,31786000,-25811000,0,-23497000,26886000,-85912000,-5826000,115889000,162808000,7411000,4449000,271488000,-39560000,65686000,508745000,40339000,2542,0.09491334138139457,34100000,0.036157545104151756,1750.1966955153423,0.22888571723168594,66368.21400472069,200135.71990558616,0.54076878678459706,16598472.000000002,152109528,59838.52399685287,949706000,1.0070098982605147,-0.02491477528774938,232979000,3472368000,0.0670951350778489,223594.0204563336,0.9050866586186055,1.1717833304174023,434737.6081825334,23.543122040705025,0.04277299741807559,0.5996876473361622,0.4123239581617526,0.002362573996104646,NA,0.5275224080657103,302020000,9841913000,0.030687123529744675,151047.76194048513
Fjallabyggð,2002,A og B-hluti,1617161000,2010388000,1062537000,562205000,168708000,1028170000,80867000,-67945000,0,-33578000,26886000,-125446000,13151000,393225000,154667000,0,4809000,273705000,-96195000,98043000,542869000,93667000,2542,0.1955965714081063,115234000,0.10845175273896344,1891.8174665617623,0.23081816850979528,66368.21400472069,213559.79543666405,0.5279953704153982,18700651.200000003,150007348.8,59011.54555468136,1462494000,1.3764170094782582,-0.03160172304587981,76408000,3284899000,0.023260380303930198,221166.40440597956,0.8044034285918937,1.5219808816069464,636176.6325727773,15.61375938163921,0.08815410663346311,0.5650864982371532,0.4123239581617526,0.002661791533301568,NA,0.7123595960966405,592772000,12416176000,0.04774191345225776,296460.1150287572
Fjarðabyggð,2002,A-hluti,1897069000,2914057000,1524526000,986837000,286562000,1597113000,74948000,92780000,0,20193000,59752000,-125218000,-133239000,1016990000,612587000,169972000,223770000,444987000,71290000,99283000,851437000,42884000,4258,0.348994546091583,2361000,0.0015486780809248252,52552.841709722874,0.22503708578379597,67299.6712071395,199961.71911695632,0.533110055456314,26831657.6,259730342.4,60998.201596993895,1454454000,0.9540368612932807,0.013245428415127063,-318929000,7401469000,-0.04308995957424128,231760.68576796618,0.651005453908417,1.2443664457018115,445530.5307656177,33.91600596959239,0.028129398908250825,1.3766402164557616,0.4123239581617526,0.0038191332622752017,NA,0.1897136348340366,-116168000,24883630000,-0.004668450704338555,-23022.940098102365
Fjarðabyggð,2002,A og B-hluti,3394162000,4813803000,1977123000,986837000,286562000,2079065000,197401000,22508000,0,-79434000,59752000,-193107000,-64350000,1419642000,484857000,0,234368000,553676000,-209401000,349037000,948566000,92247000,4258,0.2949106974257152,95459000,0.048281771038018374,55041.80366369188,0.22503708578379597,67299.6712071395,222772.66322217003,0.456246437701563,34797364.800000004,251764635.2,59127.43898543917,2909305000,1.4714840705408818,-0.04017655957671829,-214180000,6780272000,-0.031588703226065266,231760.68576796618,0.7050893025742848,1.7167176751269395,797125.880695162,31.538207204570337,0.04665718824777214,0.8757052861240148,0.4123239581617526,0.004952946826035983,NA,0.33371872040218953,1751660000,34047093000,0.05144815153528673,347155.5269286033
Fljótsdalshreppur,2002,A-hluti,10070000,65570000,38279000,11268000,15279000,39168000,1981000,976000,0,87000,0,-420000,-413000,55500000,17627000,413000,14220000,8100000,1538000,NA,5225000,1329000,82,0.8464236693609882,1092000,0.028527390997674967,173414.63414634147,0.5755452593513392,186329.26829268291,63719.51219512195,0.1333997140522876,673710.4,14605289.6,178113.28780487805,-7144000,-0.1866297447686721,0.0022727866454191593,-214565000,15438329000,-0.013898201029398972,137414.63414634147,0.15357633063901177,0.26306852321116014,122804.87804878049,0,0.03471877530760992,2.176172839506173,0.4123239581617526,9.589380708930673e-5,NA,0.4116420717001186,-84266000,885213000,-0.09519290837346492,-1009173.6526946108
Fljótsdalshreppur,2002,A og B-hluti,18720000,73188000,38530000,11268000,15279000,39669000,2308000,511000,0,-628000,0,5082000,-5148000,54468000,17214000,0,14220000,8352000,1538000,-1000,5225000,569000,82,0.7442203639940974,1169000,0.030339994809239552,173414.63414634147,0.5755452593513392,186329.26829268291,63719.51219512195,0.13171494113791626,678128,14600872,178059.41463414635,1506000,0.03908642616143265,-0.01629898780171295,222152000,8823298000,0.025177886998716353,137414.63414634147,0.2557796360059026,0.4858551777835453,228292.68292682926,2.646748681898067,0.014767713470023359,2.0610632183908044,0.4123239581617526,9.652259429846621e-5,NA,0.568478590950501,-85971000,887553000,-0.09686294790282947,-1029592.8143712574
Flóahreppur,2002,A-hluti,53643000,275208000,155919000,80928000,59473000,152629000,6727000,1233000,0,4523000,0,-3893000,-501000,221565000,77201000,581000,49995000,21806000,-2338000,NA,56785000,11638000,510,0.8050819743612104,10017000,0.06424489638850941,98029.41176470589,0.4235938490466592,116613.72549019608,111343.13725490196,0.3720459414659075,2744174.4000000004,56728825.6,111232.99137254902,-22977000,-0.14736497796933024,0.029008651928244793,-122632000,603534000,-0.2031898782835764,158682.35294117648,0.19491802563878957,0.34404402285802244,105182.35294117648,0,0.07464132017265375,3.5403558653581584,0.4123239581617526,3.905971030475618e-4,NA,0.2166518578352181,53735000,3017907000,0.017805386315747965,79962.79761904762
Flóahreppur,2002,A og B-hluti,53563000,275214000,157431000,80837000,59473000,153139000,7405000,318000,0,4610000,0,-3893000,0,221651000,75377000,0,49995000,21726000,-3891000,NA,56785000,12690000,510,0.8053769066980604,11697000,0.07429921679974084,98029.41176470589,0.42386857672297057,116613.72549019608,111343.13725490196,0.37080691398010956,2770785.6,56702214.4,111180.81254901961,-21814000,-0.13856229078135818,0.029282669868069187,-54702000,537465000,-0.10177779018168626,158503.92156862744,0.1946230933019396,0.3402315935235119,105025.49019607843,0,0.0806067420012577,3.469437540274326,0.4123239581617526,3.9438485707245875e-4,NA,0.20745253569021743,44330000,3113968000,0.014235855988243938,65967.26190476191
Garðabær,2002,A-hluti,3452049000,7083187000,3066287000,2585444000,160229000,2876317000,163167000,58416000,0,248386000,54849000,-273251000,-205574000,3631139000,922778000,243690000,28000000,736292000,-420665000,382500000,1570291000,420381000,10213,0.5126419788154682,353137000,0.11516762781827011,2741.6038382453735,0.05835691285888742,15688.730049936355,153754.13688436308,0.5459380867964136,53966651.2,106262348.8,10404.616547537453,2772961000,0.9043383740660936,0.08100546361120144,203882000,4732488000,0.043081355937933705,253152.2569274454,0.48735802118453175,1.125807532041195,338005.3852932537,6.59630430490436,0.13709773416513196,1.253277232402362,0.4123239581617526,0.007681442411203247,NA,0.1577759951801306,288817000,65635708000,0.004400302957042834,17339.857410881803
Garðabær,2002,A og B-hluti,3524192000,7056088000,3163980000,2585444000,160229000,2989172000,219186000,-12305000,0,162503000,54849000,-280417000,-62618000,3531897000,687644000,0,28000000,738760000,-541809000,382500000,1577451000,415885000,10213,0.5005460532805146,393994000,0.1245248073628784,2741.6038382453735,0.05835691285888742,15688.730049936355,154455.20415157152,0.5277217236077415,55686048,104542952,10236.26280231078,2836548000,0.8965126201809114,0.051360312012086046,392107000,7077963000,0.055398283376163454,253152.2569274454,0.4994539467194854,1.113847748721547,345069.2254969157,6.820510477656083,0.13144362480167385,0.9308083816124316,0.4123239581617526,0.007926175912495748,NA,0.1564084331329574,2500210000,69309515000,0.03607311348232634,150106.41651031896
Grímsnes- og Grafningshreppur,2002,A-hluti,50700000,266939000,193266000,118933000,34703000,152378000,4616000,1965000,0,42853000,0,-9343000,16255000,216238000,93437000,9043000,57508000,29247000,3443000,NA,65626000,46990000,348,0.8100652208931629,45504000,0.23544751792865792,165252.8735632184,0.22587804941550158,99721.2643678161,188580.45977011495,0.4306789694050322,3401481.6,31301518.4,89946.89195402298,-33694000,-0.1743400287686401,0.22173067171670133,390969000,39550754000,0.009885247699702514,341761.4942528736,0.1899347791068371,0.2623327434727267,145689.6551724138,0,0.24313640267817413,3.1947550176086437,0.4123239581617526,4.8415613053951135e-4,NA,0.0634584478589345,658272000,3932384000,0.16739769056124731,1342727.1800101988
